Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.12759639525349564,0.04246274757338092,0.0005499818457978307,0.05509938580269996,0.025960906579791027,0.7483305829448347
tour_id9r3y5moe,0.24655613669044457,0.5559449970377196,0.02125532468419384,0.008274991389466694,0.023544424658953143,0.1444241255392222
tour_idf6itml6g,0.7305249644096237,0.1410511347354404,0.0031821001405000736,0.00637736523709596,0.003889865827057766,0.11497456965028202
tour_id99u4znru,0.04548547072138403,0.01959740604582804,0.00040325573180994135,0.2884549291606861,0.13750749691557207,0.5085514414247199
tour_idj4i9urbx,0.02142842226057264,0.008678538102287407,0.0002345970665027713,0.26663559532366177,0.2977193649241282,0.4053034823228472
tour_ids94pi2qs,0.03783631137846406,0.015874170474813057,0.0003759012387836391,0.1146010663748655,0.5542270893363066,0.27708546119676725
tour_id9xx2dq4e,0.13965858958208968,0.8117287069895511,0.0041139246465455356,0.0064574999908955655,0.003358966698515861,0.0346823120924022
tour_id9q7cbwf5,0.0228515628571879,0.007050302499904302,0.00020400844559352206,0.23311947664616692,0.34082747024279414,0.3959471793083532
tour_id28uzu8li,0.31497037192732474,0.4027520983645021,0.010295001858828347,0.011868440434011352,0.07125886390267103,0.1888552235126625
tour_idf7lvpips,0.017752896655939092,0.0074978917286072965,0.00038328392675234847,0.38265653020300205,0.26329063724536117,0.328418760240338
tour_id69abaq9f,0.16541606623336158,0.2954328578667479,0.01430419679104267,0.06620483912986937,0.042745430655598195,0.41589660932338024
tour_id20ne7vgg,0.011907752028988847,0.00418872329538726,0.00022392133931664154,0.3301183963214296,0.47117640930045546,0.18238479771442215
tour_ida99j69n7,0.16040879640424602,0.7788313210078104,0.014459927506671504,0.0027915435077695483,0.004638130472462462,0.03887028110104013
tour_idzwulen6z,0.006682923528133819,0.0037411825836574535,0.00022453781824723453,0.07652879901550413,0.8522454645796941,0.06057709247476322
tour_id82x4wwmo,0.3983593746000573,0.42440338402330957,0.004945102700360847,0.02548136872357131,0.02385027997928109,0.1229604899734199
tour_idlhvaq2mf,0.12365574110589528,0.02749413067511967,0.0005161660666361688,0.05176193958569456,0.0809777728394401,0.7155942497272142
tour_id8t7kqb9n,0.7665014789174829,0.15309266789311568,0.004776337211780277,0.005840330250588705,0.004567428438561776,0.06522175728847077
tour_idrn7vpcu5,0.016185315859587084,0.008458307057498792,0.00022796072913126758,0.22855241709643304,0.22824154675374475,0.5183344525036051
tour_idqk4wakw3,0.19501456319248864,0.7113712220987631,0.008340165476448022,0.0063965630780079795,0.005566440916263375,0.0733110452380287
tour_id6fa1ag4g,0.2284706446046214,0.09355843572993158,0.0016705574904052468,0.054136271659523,0.03838603229986659,0.5837780582156522
tour_id8yxycz3h,0.18099482905630113,0.09088729899918149,0.0010315755008822713,0.21529566586872528,0.08005338717886071,0.43173724339604924
tour_idq3khwer6,0.023568877310885233,0.008574897241363452,0.00020720524207468838,0.1911130223644646,0.08170505227908811,0.694830945562124
tour_idhgharflp,0.19266261966407233,0.06211098545404307,0.0019663116212156255,0.0613247366853482,0.04710341046686142,0.6348319361084593
tour_idqjzzhcvz,0.24758510241243456,0.5492876975732424,0.10588034166431719,0.020273929098238292,0.014008352117568592,0.06296457713419891
tour_id0l0xaktp,0.09653933177862806,0.02449785035855853,0.0004557693957490767,0.16994589379465683,0.03152749142564442,0.6770336632467632
tour_idbg22qq89,0.06871385851407216,0.018979955534051567,0.0005566767606797798,0.10169859180587862,0.1119681116008181,0.6980828057844998
tour_idwkhfwtqp,0.42884845822062456,0.48718054793493126,0.0023068760445555973,0.006184936217628743,0.0031085238206969923,0.07237065776156286
tour_id34dyvoyk,0.14441360598719294,0.021797821702595012,0.00043091188147961307,0.061918618799523165,0.03768695303823144,0.7337520885909778
tour_id5cfn85zh,0.19416205087408883,0.08068202842182379,0.0013097039082004091,0.06079797392822528,0.03830847202338996,0.6247397708442717
tour_id84rchmqs,0.01917178041474655,0.00914436803809444,0.0003358531576394681,0.31511533785893064,0.23259213179304328,0.42364052873754565
tour_idjh4cjj2x,0.13296098342365115,0.016441518958718503,0.00037196931845761124,0.1859935859356221,0.08509683961013909,0.5791351027534115
tour_idzy1dc1xm,0.35015985542894423,0.48188869689626534,0.014436415780887177,0.00839693385501182,0.029940377357528018,0.1151777206813634
tour_id80j7qu6z,0.19770309572625744,0.04535505774776921,0.0015556495720237425,0.05546687671515729,0.06275598451810116,0.6371633357206912
tour_iddtkykn6k,0.036532082992322606,0.007656824086526779,0.0004972101523068449,0.25156935278685366,0.4432025735222312,0.2605419564597589
tour_idg04qytor,0.1758638310293692,0.7204337463760198,0.01110133083179032,0.005410440374931796,0.010649232873998092,0.07654141851389086
tour_idv9sccb8o,0.43867426393829423,0.3120521158107849,0.001850093512333085,0.007793970522749898,0.009743455592884923,0.22988610062295295
tour_idfstvxwpt,0.368269648653781,0.3134236531468984,0.002528983910095146,0.013155705003627347,0.015900017684840933,0.2867219916007572
tour_idw8zh4idj,0.35046066268875087,0.4426220396628854,0.02442562979726321,0.00791780988126221,0.017195841176044953,0.1573780167937933
tour_idri1bxxwf,0.15575168794805422,0.022706745399474343,0.0005055603154781162,0.19955393896200818,0.09156506383669427,0.5299170035382909
tour_id9jns3l59,0.11159565922935019,0.3411968019173267,0.46363630822999946,0.008851108885035432,0.016490780356641154,0.05822934138164696
tour_idykz7qmpj,0.275847538390758,0.08702527687071829,0.001874595973271092,0.0753586114838197,0.040671393691805044,0.5192225835896279
tour_idff7h0lmy,0.45515475090044877,0.3091530384692981,0.01893818235122226,0.040324121484699826,0.05011318943633828,0.1263167173579927
tour_idjhminmzn,0.7657135072347692,0.1361520646270201,0.004548639196889507,0.004545998808340147,0.003855484361434065,0.08518430577154701
tour_idiihytata,0.05480108241816013,0.7171133658466817,0.1895062107367158,0.004587128346747926,0.0067685766424737245,0.027223636009220807
tour_idp48ka6jb,0.12793330996314128,0.7681095729442531,0.02100143450122749,0.0067994752646592035,0.013029264460251017,0.06312694286646801
tour_idthc6m7sk,0.33040250690656847,0.538479515477198,0.010327138078914428,0.008945525281408944,0.012234431752778944,0.09961088250313122
tour_idikm37slu,0.3927493154248575,0.46763538009901273,0.017824901837029308,0.01704432977920652,0.01958421508510962,0.08516185777478433
tour_idvay0ce8g,0.014902580350849603,0.00416360288033536,0.00021223183332981583,0.2330836095827635,0.5200231235239606,0.2276148518287611
tour_idljettp5j,0.008159987117700855,0.003190805255554879,0.0001723271697538516,0.2691670821318056,0.5154705479017467,0.20383925042343798
tour_id6b75m18g,0.013501979699926255,0.005773550426389255,0.0002515256731439393,0.3127583275964841,0.31925263465044107,0.34846198195361533
tour_idh1qz4kip,0.36422667820193555,0.30810399473989514,0.02112987309243581,0.046421086833032324,0.025121169821881794,0.23499719731081944
tour_idct1mds8n,0.390554273499639,0.516469997189684,0.005924586085454597,0.007759312842664316,0.005310746788727933,0.07398108359383007
tour_idmdkapl5e,0.2063294204067181,0.6450718059713219,0.015489691677149996,0.01767668937163096,0.01059181339802464,0.10484057917515437
tour_idtxl27kyw,0.07588597116449419,0.01916619794246209,0.00045406565693614277,0.21326273225539297,0.08529823329481911,0.6059327996858954
tour_id3f5s1s8k,0.15355616975654163,0.7443392724869862,0.026520609313507627,0.006504319548471137,0.006096210889748132,0.06298341800474538
tour_idmy8ugm33,0.1796565398293769,0.7665298353674959,0.013449809546772027,0.0024917656760671983,0.0036257424217639575,0.03424630715852399
tour_id15xhujqe,0.08327889019055879,0.76170041287858,0.07262408869182205,0.005282478294362085,0.009557612451321463,0.06755651749335537
tour_idnvjzjzis,0.027771032233936288,0.011517623096609454,0.0003044695979664002,0.2435786175545171,0.12574188816955328,0.5910863693474174
tour_idicgj22ml,0.08281011104976252,0.8768298480862203,0.019225329238483514,0.0020997133011786554,0.003196968084417966,0.015838030239936872
